timestamp,host,latency_ms
2025-07-06T07:14:28.177495,cloudflare.com,5.0
2025-07-06T07:14:28.189911,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:28.190512,208.67.222.222,29.0
2025-07-06T07:14:28.373990,8.8.8.8,29.0
2025-07-06T07:14:28.374553,1.1.1.1,9.0
2025-07-06T07:14:28.375035,cloudflare.com,7.0
2025-07-06T07:14:28.392777,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:28.393306,208.67.222.222,30.0
2025-07-06T07:14:28.569888,8.8.8.8,timeout
2025-07-06T07:14:28.570811,1.1.1.1,8.0
2025-07-06T07:14:28.571439,cloudflare.com,8.0
2025-07-06T07:14:28.572205,ec2.ap-southeast-2.amazonaws.com,timeout
2025-07-06T07:14:28.574478,208.67.222.222,28.0
2025-07-06T07:14:28.751545,8.8.8.8,32.0
2025-07-06T07:14:28.752069,1.1.1.1,8.0
2025-07-06T07:14:28.752729,cloudflare.com,4.0
2025-07-06T07:14:28.765786,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:28.766437,208.67.222.222,30.0
2025-07-06T07:14:28.939671,8.8.8.8,33.0
2025-07-06T07:14:28.940234,1.1.1.1,7.0
2025-07-06T07:14:28.940691,cloudflare.com,8.0
2025-07-06T07:14:28.962455,ec2.ap-southeast-2.amazonaws.com,47.0
2025-07-06T07:14:28.963042,208.67.222.222,27.0
2025-07-06T07:14:29.138731,8.8.8.8,30.0
2025-07-06T07:14:29.139484,1.1.1.1,9.0
2025-07-06T07:14:29.140067,cloudflare.com,3.0
2025-07-06T07:14:29.159610,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:29.160044,208.67.222.222,29.0
2025-07-06T07:14:29.336359,8.8.8.8,33.0
2025-07-06T07:14:29.336900,1.1.1.1,9.0
2025-07-06T07:14:29.337462,cloudflare.com,5.0
2025-07-06T07:14:29.347844,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:29.348759,208.67.222.222,31.0
2025-07-06T07:14:29.535999,8.8.8.8,28.0
2025-07-06T07:14:29.536545,1.1.1.1,10.0
2025-07-06T07:14:29.537164,cloudflare.com,6.0
2025-07-06T07:14:29.548059,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:29.548591,208.67.222.222,28.0
2025-07-06T07:14:29.722969,8.8.8.8,30.0
2025-07-06T07:14:29.723618,1.1.1.1,5.0
2025-07-06T07:14:29.724112,cloudflare.com,7.0
2025-07-06T07:14:29.740935,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:29.741521,208.67.222.222,28.0
2025-07-06T07:14:29.921526,8.8.8.8,33.0
2025-07-06T07:14:29.922046,1.1.1.1,9.0
2025-07-06T07:14:29.922536,cloudflare.com,5.0
2025-07-06T07:14:29.940602,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:29.941146,208.67.222.222,27.0
2025-07-06T07:14:30.119028,8.8.8.8,33.0
2025-07-06T07:14:30.119592,1.1.1.1,6.0
2025-07-06T07:14:30.120206,cloudflare.com,6.0
2025-07-06T07:14:30.130546,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:30.131061,208.67.222.222,31.0
2025-07-06T07:14:30.305151,8.8.8.8,31.0
2025-07-06T07:14:30.305881,1.1.1.1,9.0
2025-07-06T07:14:30.306426,cloudflare.com,5.0
2025-07-06T07:14:30.320040,ec2.ap-southeast-2.amazonaws.com,38.0
2025-07-06T07:14:30.320685,208.67.222.222,31.0
2025-07-06T07:14:30.521531,8.8.8.8,32.0
2025-07-06T07:14:30.522232,1.1.1.1,8.0
2025-07-06T07:14:30.522943,cloudflare.com,9.0
2025-07-06T07:14:30.531086,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:30.531619,208.67.222.222,28.0
2025-07-06T07:14:30.726415,8.8.8.8,31.0
2025-07-06T07:14:30.726944,1.1.1.1,9.0
2025-07-06T07:14:30.727434,cloudflare.com,4.0
2025-07-06T07:14:30.727967,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:30.728399,208.67.222.222,29.0
2025-07-06T07:14:30.914915,8.8.8.8,32.0
2025-07-06T07:14:30.915576,1.1.1.1,4.0
2025-07-06T07:14:30.916106,cloudflare.com,5.0
2025-07-06T07:14:30.928161,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:30.928704,208.67.222.222,26.0
2025-07-06T07:14:31.121121,8.8.8.8,29.0
2025-07-06T07:14:31.121712,1.1.1.1,7.0
2025-07-06T07:14:31.122215,cloudflare.com,8.0
2025-07-06T07:14:31.139121,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:31.139678,208.67.222.222,29.0
2025-07-06T07:14:31.313737,8.8.8.8,30.0
2025-07-06T07:14:31.314338,1.1.1.1,6.0
2025-07-06T07:14:31.314832,cloudflare.com,8.0
2025-07-06T07:14:31.333280,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:31.333991,208.67.222.222,28.0
2025-07-06T07:14:31.569346,8.8.8.8,31.0
2025-07-06T07:14:31.569969,1.1.1.1,8.0
2025-07-06T07:14:31.570523,cloudflare.com,5.0
2025-07-06T07:14:31.578191,ec2.ap-southeast-2.amazonaws.com,timeout
2025-07-06T07:14:31.578679,208.67.222.222,29.0
2025-07-06T07:14:31.758393,8.8.8.8,33.0
2025-07-06T07:14:31.758956,1.1.1.1,9.0
2025-07-06T07:14:31.759575,cloudflare.com,7.0
2025-07-06T07:14:31.770923,ec2.ap-southeast-2.amazonaws.com,41.0
2025-07-06T07:14:31.771463,208.67.222.222,33.0
2025-07-06T07:14:31.946168,8.8.8.8,32.0
2025-07-06T07:14:31.946705,1.1.1.1,6.0
2025-07-06T07:14:31.947339,cloudflare.com,4.0
2025-07-06T07:14:31.962308,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:31.962861,208.67.222.222,30.0
2025-07-06T07:14:32.138064,8.8.8.8,29.0
2025-07-06T07:14:32.138699,1.1.1.1,5.0
2025-07-06T07:14:32.139220,cloudflare.com,7.0
2025-07-06T07:14:32.154230,ec2.ap-southeast-2.amazonaws.com,39.0
2025-07-06T07:14:32.155012,208.67.222.222,31.0
2025-07-06T07:14:32.345278,8.8.8.8,32.0
2025-07-06T07:14:32.346084,1.1.1.1,8.0
2025-07-06T07:14:32.346664,cloudflare.com,6.0
2025-07-06T07:14:32.359464,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:32.360371,208.67.222.222,30.0
2025-07-06T07:14:32.549667,8.8.8.8,31.0
2025-07-06T07:14:32.550364,1.1.1.1,7.0
2025-07-06T07:14:32.551072,cloudflare.com,8.0
2025-07-06T07:14:32.565887,ec2.ap-southeast-2.amazonaws.com,42.0
2025-07-06T07:14:32.566507,208.67.222.222,29.0
2025-07-06T07:14:32.753938,8.8.8.8,31.0
2025-07-06T07:14:32.754683,1.1.1.1,7.0
2025-07-06T07:14:32.755179,cloudflare.com,6.0
2025-07-06T07:14:32.767280,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:32.767822,208.67.222.222,29.0
2025-07-06T07:14:32.966572,8.8.8.8,33.0
2025-07-06T07:14:32.967219,1.1.1.1,9.0
2025-07-06T07:14:32.967758,cloudflare.com,6.0
2025-07-06T07:14:32.976244,ec2.ap-southeast-2.amazonaws.com,40.0
2025-07-06T07:14:32.977214,208.67.222.222,30.0
2025-07-06T07:14:33.164485,8.8.8.8,31.0
2025-07-06T07:14:33.165334,1.1.1.1,7.0
2025-07-06T07:14:33.165807,cloudflare.com,11.0
2025-07-06T07:14:33.187064,ec2.ap-southeast-2.amazonaws.com,45.0
2025-07-06T07:14:33.187632,208.67.222.222,28.0
